,INFDENS_dilute
acc_median_final_50,0.7050520379469725
acc_median_final_100,0.6821884503700473
comp_final_median_50,0.709
comp_final_median_100,0.702
key_concept_coverage_50,0.789
key_concept_coverage_100,0.778
Conciseness_50,1.5735000000000001
Conciseness_100,1.597
