,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_final_50,0.7262899512579611,0.7278755026743156,0.7267887712592956,0.7368656281227612
acc_median_final_100,0.7138647154053863,0.706901376770311,0.7062088857557203,0.7313595398288706
comp_final_median_50,0.702,0.685,0.688,0.709
comp_final_median_100,0.684,0.644,0.655,0.7
key_concept_coverage_50,0.75,0.714,0.7,0.778
key_concept_coverage_100,0.714,0.6,0.6,0.765
Conciseness_50,1.528,1.492,1.49,1.549
Conciseness_100,1.49,1.4315,1.4195,1.5285
