,GR_key_typo,GR_ran_typo,GR_remove,GR_swap,SYNT_shuffle_words,SYNT_verb_tense_errors,READ_complex_synonyms,READ_definition_insertion,READ_double_negation,INFDENS_dilute
acc_median_final_50,0.7262899512579611,0.7278755026743156,0.7267887712592956,0.7368656281227612,0.732441731805872,0.7323062795161404,0.7161331843576442,0.7221820366194868,0.7413999926782879,0.7050520379469725
acc_median_final_100,0.7138647154053863,0.706901376770311,0.7062088857557203,0.7313595398288706,0.699132837295928,0.7225617921304559,0.7027793202181403,0.7132309930962392,0.7361518457408779,0.6821884503700473
comp_final_median_50,0.702,0.685,0.688,0.709,0.681,0.714,0.699,0.7124999999999999,0.693,0.709
comp_final_median_100,0.684,0.644,0.655,0.7,0.646,0.719,0.691,0.713,0.676,0.702
key_concept_coverage_50,0.75,0.714,0.7,0.778,0.688,0.8,0.75,0.789,0.75,0.789
key_concept_coverage_100,0.714,0.6,0.6,0.765,0.6,0.8,0.714,0.786,0.727,0.778
Conciseness_50,1.528,1.492,1.49,1.549,1.472,1.571,1.533,1.5795,1.48,1.5735000000000001
Conciseness_100,1.49,1.4315,1.4195,1.5285,1.444,1.571,1.521,1.6,1.4,1.597
