,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
%DirectModifications_50,22.39,11.96,15.89,12.7
%DirectModifications_100,30.57,14.32,22.25,20.3
%Additions_50,31.77,36.68,34.98,28.86
%Additions_100,35.36,41.02,38.75,30.67
