,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
%Additions_50,5.25,11.68,12.36,3.15
%DirectModifications_50,14.96,4.23,10.24,9.02
%Additions_100,9.37,19.47,20.88,4.18
%DirectModifications_100,18.36,9.65,15.58,21.97
