,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_final_50,-0.43,0.53,0.3,-1.1
acc_median_final_100,-0.9,1.56,-0.09,-2.22
comp_final_median_50,-3.38,-5.1,-1.17,-6.7
comp_final_median_100,-4.12,-4.61,-1.66,-6.45
key_concept_coverage_50,-1.9,-3.59,-1.8,-3.17
key_concept_coverage_100,-2.53,-4.22,-4.44,-4.01
Conciseness_50,-10.12,-13.21,0.77,-17.4
Conciseness_100,-10.08,-8.09,0.63,-16.01
