,INFDENS_dilute
acc_median_final_50,0.8134382600055158
acc_median_final_100,0.8036930732592351
comp_final_median_50,0.8154999999999999
comp_final_median_100,0.816
key_concept_coverage_50,0.96
key_concept_coverage_100,0.955
Conciseness_50,1.548
Conciseness_100,1.596
