,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
%DirectModifications_50,14.96,4.23,10.24,9.02
%DirectModifications_100,18.36,9.65,15.58,21.97
%Additions_50,21.93,28.36,29.04,19.83
%Additions_100,26.05,36.16,37.56,20.87
