,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_final_50,0.8268937182295506,0.8348582520163976,0.832944572699388,0.8213489198806516
acc_median_final_100,0.8229425554515263,0.8433967259105382,0.8297340864471547,0.8120296594333637
comp_final_median_50,0.786,0.772,0.804,0.759
comp_final_median_100,0.78,0.776,0.8,0.761
key_concept_coverage_50,0.929,0.913,0.93,0.917
key_concept_coverage_100,0.923,0.907,0.905,0.909
Conciseness_50,1.3505,1.304,1.514,1.241
Conciseness_100,1.351,1.381,1.512,1.262
