,GR_key_typo,GR_ran_typo,GR_remove,GR_swap,SYNT_shuffle_words,SYNT_verb_tense_errors,READ_complex_synonyms,READ_definition_insertion,READ_double_negation,INFDENS_dilute
acc_median_final_50,0.8268937182295506,0.8348582520163976,0.832944572699388,0.8213489198806516,0.8253132273051924,0.8194070340581671,0.8038152510031795,0.8250944262749318,0.8530016508955365,0.8134382600055158
acc_median_final_100,0.8229425554515263,0.8433967259105382,0.8297340864471547,0.8120296594333637,0.7897891103367849,0.8082044094411566,0.800752682909718,0.8186861004884771,0.8548904130145267,0.8036930732592351
comp_final_median_50,0.786,0.772,0.804,0.759,0.794,0.81,0.789,0.796,0.8,0.8154999999999999
comp_final_median_100,0.78,0.776,0.8,0.761,0.75,0.811,0.8,0.8,0.777,0.816
key_concept_coverage_50,0.929,0.913,0.93,0.917,0.909,0.952,0.909,0.938,1.0,0.96
key_concept_coverage_100,0.923,0.907,0.905,0.909,0.833,0.952,0.9,0.933,0.938,0.955
Conciseness_50,1.3505,1.304,1.514,1.241,1.4675,1.488,1.381,1.4085,1.405,1.548
Conciseness_100,1.351,1.381,1.512,1.262,1.419,1.489,1.4565000000000001,1.432,1.399,1.596
