,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
%Additions_50,2.65,7.56,5.86,-0.26
%DirectModifications_50,22.39,11.96,15.89,12.7
%Additions_100,6.24,11.9,9.63,1.55
%DirectModifications_100,30.57,14.32,22.25,20.3
