,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_final_50,-2.04,-1.83,-1.98,-0.62
acc_median_final_100,-3.72,-4.66,-4.75,-1.36
comp_final_median_50,-1.68,-4.06,-3.64,-0.7
comp_final_median_100,-4.2,-9.8,-8.26,-1.96
key_concept_coverage_50,-5.36,-9.91,-11.67,-1.83
key_concept_coverage_100,-9.91,-24.29,-24.29,-3.47
Conciseness_50,-2.43,-4.73,-4.85,-1.09
Conciseness_100,-4.85,-8.59,-9.36,-2.39
