,GR_key_typo,GR_ran_typo,GR_remove,GR_swap,SYNT_shuffle_words,SYNT_verb_tense_errors,READ_complex_synonyms,READ_definition_insertion,READ_double_negation,INFDENS_dilute
%Additions_50,2.65,7.56,5.86,-0.26,0.72,-0.46,-0.29,-2.06,-2.39,-2.03
%DirectModifications_50,22.39,11.96,15.89,12.7,0.0,18.46,24.05,27.66,4.16,40.89
%Additions_100,6.24,11.9,9.63,1.55,5.18,-1.39,-0.22,-2.94,-4.99,-3.05
%DirectModifications_100,30.57,14.32,22.25,20.3,0.0,32.28,31.38,35.02,7.71,55.32
